Item	Word/Nonword
n_kep	nonword
n_kerm	nonword
n_kess	nonword
n_kez	nonword
n_kibe	nonword
n_kine	nonword
n_kith	nonword
n_kobe	nonword
n_koss	nonword
n_koze	nonword
n_kuhp	nonword
n_laje	nonword
n_layle	nonword
n_leck	nonword
n_leet	nonword
n_lel	nonword
n_lem	nonword
n_len	nonword
n_lerm	nonword
n_lib	nonword
n_lig	nonword
n_lin	nonword
n_lish	nonword
n_loke	nonword
n_loof	nonword
n_losse	nonword
n_lote	nonword
n_lud	nonword
n_lurd	nonword
n_luss	nonword
n_lut	nonword
n_lyth	nonword
n_mag	nonword
n_mawtch	nonword
n_mayb	nonword
n_meef	nonword
n_meese	nonword
n_meeve	nonword
n_meg	nonword
n_mem	nonword
n_merf	nonword
n_mert	nonword
n_mev	nonword
n_mide	nonword
n_mize	nonword
n_moise	nonword
n_moke	nonword
n_mose	nonword
n_mought	nonword
n_moun	nonword
n_mub	nonword
n_mun	nonword
n_muth	nonword
n_muuth	nonword
n_naff	nonword
n_natch	nonword
n_nawss	nonword
n_neek	nonword
n_nem	nonword
n_nid	nonword
n_nide	nonword
n_nish	nonword
n_niz	nonword
n_noff	nonword
n_noss	nonword
n_nowk	nonword
n_nuck	nonword
n_nud	nonword
n_pab	nonword
n_paim	nonword
n_ped	nonword
n_peef	nonword
n_pej	nonword
n_pell	nonword
n_perf	nonword
n_pev	nonword
n_pice	nonword
n_pid	nonword
n_pite	nonword
n_pode	nonword
n_pote	nonword
n_poun	nonword
n_pous	nonword
n_powed	nonword
n_pud	nonword
n_puhn	nonword
n_pum	nonword
n_pung	nonword
n_purn	nonword
n_raf	nonword
n_reeb	nonword
n_reen	nonword
n_reet	nonword
n_reeze	nonword
n_rell	nonword
n_rem	nonword
n_ress	nonword
n_ret	nonword
n_reth	nonword
n_rill	nonword
n_rin	nonword
n_rish	nonword
n_rive	nonword
n_rofe	nonword
n_roise	nonword
n_roke	nonword
n_ross	nonword
N_roud	nonword
n_rous	nonword
n_rull	nonword
n_rup	nonword
n_sab	nonword
n_sach	nonword
n_saip	nonword
n_saj	nonword
n_sayz	nonword
n_sed	nonword
n_seeg	nonword
n_seeve	nonword
n_sem	nonword
n_sep	nonword
n_serd	nonword
n_serk	nonword
n_serm	nonword
n_sess	nonword
n_shab	nonword
n_shafe	nonword
n_shan	nonword
n_shate	nonword
n_sheb	nonword
n_shech	nonword
n_shen	nonword
n_shern	nonword
n_shet	nonword
n_sheth	nonword
n_shid	nonword
n_shoil	nonword
n_shoov	nonword
n_shope	nonword
n_showth	nonword
n_shub	nonword
n_shul	nonword
n_shum	nonword
n_shune	nonword
n_sig	nonword
n_sive	nonword
n_soize	nonword
n_soof	nonword
n_soot	nonword
n_sose	nonword
n_sote	nonword
n_sull	nonword
n_tade	nonword
n_tafe	nonword
n_taish	nonword
n_tal	nonword
n_tase	nonword
n_tash	nonword
n_tass	nonword
n_tatch	nonword
n_tath	nonword
n_tawz	nonword
n_terl	nonword
n_tert	nonword
n_terth	nonword
n_terze	nonword
n_tess	nonword
n_tev	nonword
n_thake	nonword
n_theet	nonword
n_thig	nonword
n_thode	nonword
n_thood	nonword
n_thote	nonword
n_thung	nonword
n_thuse	nonword
n_tid	nonword
n_tig	nonword
n_tiv	nonword
n_toeg	nonword
n_toesh	nonword
n_toik	nonword
n_toob	nonword
n_toop	nonword
n_tuht	nonword
n_tung	nonword
n_tup	nonword
n_turch	nonword
n_tuz	nonword
n_vab	nonword
n_vaf	nonword
n_vake	nonword
n_vall	nonword
n_vap	nonword
n_veeg	nonword
n_vet	nonword
n_vin	nonword
n_vipe	nonword
n_vite	nonword
n_vok	nonword
n_voss	nonword
n_vues	nonword
n_waip	nonword
n_wais	nonword
n_weem	nonword
n_weg	nonword
n_wek	nonword
n_werch	nonword
n_wern	nonword
n_wesh	nonword
n_wess	nonword
n_whime	nonword
n_wiche	nonword
n_wid	nonword
n_wike	nonword
n_woel	nonword
n_woesh	nonword
n_wone	nonword
n_wote	nonword
n_wout	nonword
n_wuk	nonword
n_yade	nonword
n_yare	nonword
n_yeek	nonword
n_yeeze	nonword
n_yek	nonword
n_yem	nonword
n_yesh	nonword
n_yet	nonword
n_yine	nonword
n_yiss	nonword
n_yit	nonword
n_yode	nonword
n_yole	nonword
n_yoss	nonword
n_yote	nonword
n_yoze	nonword
n_zang	nonword
n_zeech	nonword
n_zeed	nonword
n_zeer	nonword
n_zide	nonword
n_zile	nonword
n_zize	nonword
n_zode	nonword
n_zole	nonword
n_zot	nonword
n_zote	nonword
n_zung	nonword
n_zup	nonword
w_bag	word
w_bake	word
w_bar	word
w_bash	word
w_bathe	word
w_beak	word
w_bean	word
w_beat	word
w_bed	word
w_beef	word
w_beg	word
w_bib	word
w_bird	word
w_bite	word
w_boat	word
w_bog	word
w_boil	word
w_bone	word
w_boom	word
w_booth	word
w_bore	word
w_boys	word
w_budge	word
w_burn	word
w_buys	word
w_cake	word
w_calf	word
w_came	word
w_can	word
w_cap	word
w_car	word
w_care	word
w_case	word
w_cat	word
w_caught	word
w_cease	word
w_chain	word
w_chair	word
w_chat	word
w_cheat	word
w_chess	word
w_chewed	word
w_chief	word
w_chill	word
w_chin	word
w_chip	word
w_choose	word
w_chore	word
w_chug	word
w_churn	word
w_coat	word
w_coil	word
w_comb	word
w_come	word
w_cook	word
w_cope	word
w_couch	word
w_could	word
w_cup	word
w_curl	word
w_curse	word
w_cuss	word
w_czar	word
w_dad	word
w_dare	word
w_dash	word
w_date	word
w_dawn	word
w_deal	word
w_dearth	word
w_did	word
w_died	word
w_dig	word
w_din	word
w_dip	word
w_dish	word
w_ditch	word
w_dive	word
w_does	word
w_dog	word
w_dome	word
w_done	word
w_doom	word
w_door	word
w_dude	word
w_dug	word
w_fad	word
w_fail	word
w_faith	word
w_fall	word
w_fame	word
w_fate	word
w_fed	word
w_fees	word
w_feet	word
w_fell	word
w_fern	word
w_fetch	word
w_fig	word
w_fight	word
w_fish	word
w_fit	word
w_foal	word
w_food	word
w_fought	word
w_fuzz	word
w_gain	word
w_game	word
w_gave	word
w_gawk	word
w_gear	word
w_germ	word
w_get	word
w_gig	word
w_girl	word
w_give	word
w_goes	word
w_gone	word
w_got	word
w_gouge	word
w_gown	word
w_guess	word
w_guide	word
w_gull	word
w_gun	word
w_gush	word
w_had	word
w_hail	word
w_has	word
w_hatch	word
w_hate	word
w_have	word
w_head	word
w_heal	word
w_heard	word
w_heave	word
w_height	word
w_hide	word
w_highs	word
w_hike	word
w_hip	word
w_hive	word
w_hone	word
w_hood	word
w_hoof	word
w_hoop	word
w_hope	word
w_house	word
w_hug	word
w_hung	word
w_jab	word
w_jail	word
w_jar	word
w_job	word
w_jog	word
w_join	word
w_jot	word
w_juke	word
w_keel	word
w_keep	word
w_keyed	word
w_kick	word
w_kid	word
w_king	word
w_kiss	word
w_kit	word
w_knack	word
w_kneel	word
w_knees	word
w_knit	word
w_knock	word
w_known	word
w_lack	word
w_laid	word
w_lash	word
w_lathe	word
w_lays	word
w_league	word
w_lean	word
w_learn	word
w_lease	word
w_leash	word
w_leave	word
w_let	word
w_lid	word
w_lied	word
w_life	word
w_light	word
w_lip	word
w_lit	word
w_live	word
w_load	word
w_loan	word
w_lobe	word
w_lock	word
w_look	word
w_loon	word
w_lose	word
w_lot	word
w_love	word
w_lows	word
w_lure	word
w_make	word
w_map	word
w_mar	word
w_mash	word
w_math	word
w_maze	word
w_mead	word
w_mean	word
w_meet	word
w_merge	word
w_mess	word
w_met	word
w_mice	word
w_mile	word
w_mole	word
w_moose	word
w_mope	word
w_moth	word
w_mouse	word
w_mouth	word
w_move	word
w_muck	word
w_mud	word
w_myth	word
w_nab	word
w_nag	word
w_nail	word
w_nap	word
w_need	word
w_niece	word
w_nod	word
w_node	word
w_notch	word
w_nub	word
w_pace	word
w_pack	word
w_pad	word
w_page	word
w_pair	word
w_pal	word
w_pass	word
w_patch	word
w_path	word
w_pause	word
w_peach	word
w_pep	word
w_pick	word
w_pill	word
w_pin	word
w_pod	word
w_pole	word
w_pour	word
w_pout	word
w_puck	word
w_pull	word
w_pun	word
w_purge	word
w_push	word
w_rack	word
w_rage	word
w_raise	word
w_rake	word
w_ran	word
w_reek	word
w_rice	word
w_rid	word
w_ride	word
w_rip	word
w_rise	word
w_roach	word
w_rob	word
w_rogue	word
w_roof	word
w_room	word
w_rub	word
w_rug	word
w_rum	word
w_run	word
w_rung	word
w_rut	word
w_sag	word
w_sage	word
w_said	word
w_sap	word
w_sash	word
w_sat	word
w_save	word
w_says	word
w_seed	word
w_seem	word
w_sell	word
w_set	word
w_sewed	word
w_shade	word
w_share	word
w_shave	word
w_sheath	word
w_shed	word
w_sheep	word
w_sheet	word
w_shin	word
w_shine	word
w_shire	word
w_shirt	word
w_shoes	word
w_shook	word
w_shoot	word
w_shop	word
w_should	word
w_shout	word
w_shove	word
w_showed	word
w_shows	word
w_shun	word
w_shut	word
w_side	word
w_siege	word
w_sight	word
w_sin	word
w_sing	word
w_soak	word
w_sob	word
w_soothe	word
w_sought	word
w_soul	word
w_soup	word
w_sues	word
w_sung	word
w_surge	word
w_tack	word
w_take	word
w_talk	word
w_tame	word
w_tap	word
w_taught	word
w_teach	word
w_team	word
w_tease	word
w_teen	word
w_tell	word
w_thing	word
w_thought	word
w_tied	word
w_tier	word
w_time	word
w_tin	word
w_tip	word
w_toil	word
w_took	word
w_tore	word
w_toss	word
w_tote	word
w_touch	word
w_town	word
w_turn	word
w_use	word
w_vase	word
w_vat	word
w_veer	word
w_verge	word
w_verse	word
w_vet	word
w_vogue	word
w_void	word
w_vote	word
w_vowed	word
w_wait	word
w_wake	word
w_walk	word
w_wall	word
w_war	word
w_was	word
w_wash	word
w_watch	word
w_wean	word
w_web	word
w_wed	word
w_weep	word
w_wife	word
w_will	word
w_win	word
w_wipe	word
w_wish	word
w_woke	word
w_wooed	word
w_work	word
w_would	word
w_wrap	word
w_wrath	word
w_wrote	word
w_wrought	word
w_yacht	word
w_yap	word
w_yawn	word
w_zap	word
w_zing	word
w_zip	word
w_zoom	word
